TV Movie,1991,50.0
Documentary,1990,33.3333333333
War,1991,33.3333333333
Western,2012,33.3333333333
Documentary,2013,27.2727272727
Music,2015,26.9230769231
Music,1997,25.0
Foreign,1990,25.0
Documentary,2015,23.4567901235
Romance,2014,23.1578947368
Music,2002,21.4285714286
History,2006,21.4285714286
Romance,1995,21.25
Documentary,2011,21.0
Documentary,2004,20.5128205128
TV Movie,1995,20.0
Foreign,1986,20.0
Documentary,2012,19.5652173913
History,2011,19.0476190476
Romance,2000,18.6274509804
Documentary,2010,18.5714285714
Romance,2013,18.1818181818
Romance,2001,17.5
War,1994,16.6666666667
History,1988,16.6666666667
Foreign,2012,16.6666666667
Documentary,1993,16.6666666667
Animation,2002,16.6666666667
Romance,2006,16.5354330709
Comedy,1995,16.40625
Romance,2009,16.40625
Foreign,2009,16.2790697674
Documentary,2002,16.2162162162
Animation,2011,16.1290322581
Romance,2015,16.1290322581
Foreign,2010,16.1290322581
Documentary,2007,15.9420289855
Drama,2013,15.5988857939
Family,2013,15.5555555556
Foreign,2007,15.3846153846
Documentary,2006,15.3846153846
War,2011,15.3846153846
Music,2008,15.3846153846
History,2000,15.3846153846
War,2000,15.3846153846
War,2012,15.3846153846
Romance,2011,14.9122807018
Fantasy,1995,14.8148148148
Romance,1985,14.5833333333
Romance,1999,14.5631067961
Documentary,2008,14.5454545455
Romance,2007,14.5161290323
Documentary,2000,14.2857142857
Mystery,1996,14.2857142857
War,2014,14.2857142857
History,1986,14.2857142857
Romance,2008,14.1732283465
Romance,1996,14.1304347826
Drama,2015,13.9880952381
Family,1998,13.9534883721
Drama,2009,13.3663366337
Romance,2002,13.3333333333
Music,2004,13.3333333333
Animation,2012,13.3333333333
Comedy,2013,13.1707317073
Documentary,2009,13.1578947368
Drama,2014,13.1428571429
Family,1995,13.0434782609
Music,2011,13.0434782609
Drama,2011,12.972972973
Drama,2001,12.8676470588
Comedy,2000,12.865497076
Comedy,2014,12.8440366972
Family,2010,12.5
Documentary,1985,12.5
Western,2010,12.5
History,2012,12.5
Music,2009,12.5
Drama,1995,12.4378109453
Romance,2012,12.389380531
Romance,2003,12.2448979592
Music,1998,11.7647058824
Horror,1991,11.7647058824
History,2004,11.7647058824
TV Movie,2001,11.7647058824
Mystery,1994,11.5384615385
Drama,2003,11.4754098361
Drama,2000,11.3725490196
Drama,2010,11.2328767123
Documentary,1998,11.1111111111
Western,1999,11.1111111111
Foreign,1997,11.1111111111
Romance,2005,11.1111111111
TV Movie,2003,11.1111111111
History,1990,11.1111111111
Romance,1992,10.9090909091
Family,2012,10.8695652174
Romance,1997,10.8695652174
Comedy,2011,10.7569721116
Comedy,2009,10.7266435986
Family,1994,10.6382978723
Romance,1994,10.6060606061
Drama,1998,10.593220339
Drama,1996,10.593220339
Romance,2010,10.5263157895
Comedy,2005,10.5263157895
Music,2007,10.3448275862
Comedy,2001,10.1604278075
Comedy,1998,10.0628930818
Drama,2006,10.0
Music,1996,10.0
War,2007,10.0
Horror,2012,9.87654320988
Drama,2012,9.84126984127
Drama,2002,9.69899665552
Comedy,1985,9.67741935484
Comedy,2006,9.67741935484
Drama,2008,9.66183574879
Comedy,2002,9.60451977401
Family,2008,9.58904109589
Horror,2014,9.58904109589
Drama,2007,9.57446808511
History,2013,9.52380952381
Foreign,2008,9.52380952381
History,2010,9.52380952381
Comedy,2012,9.47867298578
Comedy,2015,9.32642487047
TV Movie,2000,9.09090909091
Foreign,1993,9.09090909091
Documentary,1988,9.09090909091
TV Movie,2006,9.09090909091
Documentary,2001,9.09090909091
War,1996,9.09090909091
Animation,2010,9.09090909091
Comedy,2008,9.05511811024
Drama,1994,9.0395480226
Family,2011,8.9552238806
Comedy,2007,8.92857142857
Mystery,2002,8.88888888889
Romance,1986,8.88888888889
Documentary,2014,8.88888888889
Drama,2004,8.88157894737
Foreign,2011,8.82352941176
Family,2006,8.82352941176
Comedy,1999,8.77192982456
Music,2013,8.69565217391
Music,2005,8.69565217391
War,2008,8.69565217391
Music,2014,8.69565217391
Romance,1998,8.65384615385
Foreign,2001,8.57142857143
Fantasy,2013,8.51063829787
Comedy,2010,8.36653386454
History,1996,8.33333333333
Fantasy,2012,8.33333333333
Crime,1994,8.33333333333
Animation,2014,8.33333333333
Fantasy,2001,8.33333333333
Music,2006,8.33333333333
Music,1986,8.33333333333
Foreign,2005,8.33333333333
Drama,1999,8.26446280992
Drama,1997,8.21917808219
Foreign,2002,8.10810810811
Romance,2004,8.03571428571
Foreign,2000,8.0
Romance,1988,8.0
Documentary,2003,7.89473684211
Crime,1991,7.89473684211
Family,2015,7.8431372549
Music,1993,7.69230769231
Animation,2000,7.69230769231
Foreign,1998,7.69230769231
TV Movie,2013,7.69230769231
War,2004,7.69230769231
History,1995,7.69230769231
TV Movie,1996,7.69230769231
TV Movie,2012,7.69230769231
Adventure,2011,7.69230769231
History,2009,7.69230769231
Animation,2009,7.69230769231
Comedy,1996,7.64331210191
Comedy,1989,7.56302521008
Comedy,1992,7.54716981132
Thriller,1996,7.52688172043
Drama,2005,7.5
TV Movie,2014,7.40740740741
Family,2014,7.40740740741
Thriller,2014,7.33333333333
Crime,2013,7.24637681159
Documentary,2005,7.14285714286
TV Movie,2011,7.14285714286
TV Movie,2005,7.14285714286
Animation,1994,7.14285714286
History,2002,7.14285714286
TV Movie,2008,7.14285714286
History,1999,7.14285714286
Family,1990,7.14285714286
Music,1988,7.14285714286
Crime,2003,7.01754385965
Animation,2008,6.97674418605
Romance,1989,6.97674418605
Family,2004,6.97674418605
Fantasy,2014,6.89655172414
Thriller,2013,6.89655172414
